,income_groups,age,gender,year,population
0,high_income,0.0,1.0,1950.0,7798286.0
1,high_income,0.0,1.0,1951.0,7739711.0
3,high_income,0.0,1.0,1953.0,7722053.0
4,high_income,0.0,1.0,1954.0,7756149.0
6,high_income,0.0,1.0,1956.0,7881285.0
7,high_income,0.0,1.0,1957.0,7963331.0
8,high_income,0.0,1.0,1958.0,8059561.0
9,high_income,0.0,1.0,1959.0,8145397.0
12,high_income,0.0,1.0,1962.0,8246837.0
14,high_income,0.0,1.0,1964.0,8286815.0
15,high_income,0.0,1.0,1965.0,8226634.0
18,high_income,0.0,1.0,1968.0,7879501.0
19,high_income,0.0,1.0,1969.0,7829859.0
20,high_income,0.0,1.0,1970.0,7847667.0
21,high_income,0.0,1.0,1971.0,7877076.0
22,high_income,0.0,1.0,1972.0,7788912.0
23,high_income,0.0,1.0,1973.0,7622554.0
25,high_income,0.0,1.0,1975.0,7380875.0
26,high_income,0.0,1.0,1976.0,7268090.0
28,high_income,0.0,1.0,1978.0,7252074.0
30,high_income,0.0,1.0,1980.0,7344529.0
31,high_income,0.0,1.0,1981.0,7325343.0
33,high_income,0.0,1.0,1983.0,7225239.0
34,high_income,0.0,1.0,1984.0,7137798.0
36,high_income,0.0,1.0,1986.0,7051079.0
37,high_income,0.0,1.0,1987.0,7041240.0
38,high_income,0.0,1.0,1988.0,7050006.0
39,high_income,0.0,1.0,1989.0,7094591.0
41,high_income,0.0,1.0,1991.0,7135453.0
42,high_income,0.0,1.0,1992.0,7082019.0
43,high_income,0.0,1.0,1993.0,6993328.0
44,high_income,0.0,1.0,1994.0,6883434.0
46,high_income,0.0,1.0,1996.0,6716983.0
48,high_income,0.0,1.0,1998.0,6660832.0
49,high_income,0.0,1.0,1999.0,6606375.0
50,high_income,0.0,1.0,2000.0,6617943.0
51,high_income,0.0,1.0,2001.0,6610135.0
52,high_income,0.0,1.0,2002.0,6528265.0
54,high_income,0.0,1.0,2004.0,6540396.0
55,high_income,0.0,1.0,2005.0,6559108.0
58,high_income,0.0,1.0,2008.0,6812714.0
59,high_income,0.0,1.0,2009.0,6826019.0
60,high_income,0.0,1.0,2010.0,6773564.0
61,high_income,0.0,1.0,2011.0,6703672.0
62,high_income,0.0,1.0,2012.0,6670392.0
63,high_income,0.0,1.0,2013.0,6627748.0
64,high_income,0.0,1.0,2014.0,6601389.0
65,high_income,0.0,1.0,2015.0,6612729.0
66,high_income,0.0,1.0,2016.0,6604755.0
67,high_income,0.0,1.0,2017.0,6512293.0
68,high_income,0.0,1.0,2018.0,6360084.0
69,high_income,0.0,1.0,2019.0,6236119.0
70,high_income,0.0,1.0,2020.0,6073742.0
71,high_income,0.0,1.0,2021.0,5985257.0
72,high_income,0.0,1.0,2022.0,5956472.0
73,high_income,0.0,1.0,2023.0,5851268.0
155,high_income,0.0,2.0,1954.0,7409628.0
156,high_income,0.0,2.0,1955.0,7482347.0
157,high_income,0.0,2.0,1956.0,7564891.0
160,high_income,0.0,2.0,1959.0,7787656.0
161,high_income,0.0,2.0,1960.0,7798290.0
163,high_income,0.0,2.0,1962.0,7854217.0
164,high_income,0.0,2.0,1963.0,7855562.0
166,high_income,0.0,2.0,1965.0,7826953.0
167,high_income,0.0,2.0,1966.0,7609988.0
169,high_income,0.0,2.0,1968.0,7502282.0
170,high_income,0.0,2.0,1969.0,7442219.0
171,high_income,0.0,2.0,1970.0,7454461.0
172,high_income,0.0,2.0,1971.0,7476451.0
173,high_income,0.0,2.0,1972.0,7388413.0
175,high_income,0.0,2.0,1974.0,7121690.0
176,high_income,0.0,2.0,1975.0,6980809.0
177,high_income,0.0,2.0,1976.0,6885153.0
178,high_income,0.0,2.0,1977.0,6885229.0
179,high_income,0.0,2.0,1978.0,6873455.0
181,high_income,0.0,2.0,1980.0,6954609.0
182,high_income,0.0,2.0,1981.0,6944597.0
183,high_income,0.0,2.0,1982.0,6909028.0
184,high_income,0.0,2.0,1983.0,6844708.0
185,high_income,0.0,2.0,1984.0,6760730.0
186,high_income,0.0,2.0,1985.0,6710580.0
187,high_income,0.0,2.0,1986.0,6681303.0
188,high_income,0.0,2.0,1987.0,6668800.0
189,high_income,0.0,2.0,1988.0,6677906.0
190,high_income,0.0,2.0,1989.0,6718403.0
192,high_income,0.0,2.0,1991.0,6753836.0
193,high_income,0.0,2.0,1992.0,6703610.0
195,high_income,0.0,2.0,1994.0,6503010.0
196,high_income,0.0,2.0,1995.0,6405896.0
197,high_income,0.0,2.0,1996.0,6350785.0
198,high_income,0.0,2.0,1997.0,6339061.0
200,high_income,0.0,2.0,1999.0,6258309.0
202,high_income,0.0,2.0,2001.0,6266634.0
204,high_income,0.0,2.0,2003.0,6179164.0
205,high_income,0.0,2.0,2004.0,6200273.0
206,high_income,0.0,2.0,2005.0,6220011.0
207,high_income,0.0,2.0,2006.0,6286149.0
209,high_income,0.0,2.0,2008.0,6468747.0
210,high_income,0.0,2.0,2009.0,6478604.0
211,high_income,0.0,2.0,2010.0,6426290.0
212,high_income,0.0,2.0,2011.0,6363821.0
215,high_income,0.0,2.0,2014.0,6270340.0
216,high_income,0.0,2.0,2015.0,6277873.0
217,high_income,0.0,2.0,2016.0,6272345.0
218,high_income,0.0,2.0,2017.0,6192210.0
219,high_income,0.0,2.0,2018.0,6050318.0
221,high_income,0.0,2.0,2020.0,5783387.0
222,high_income,0.0,2.0,2021.0,5697100.0
223,high_income,0.0,2.0,2022.0,5666573.0
224,high_income,0.0,2.0,2023.0,5564024.0
302,high_income,1.0,1.0,1950.0,7626230.0
303,high_income,1.0,1.0,1951.0,7556711.0
304,high_income,1.0,1.0,1952.0,7513759.0
305,high_income,1.0,1.0,1953.0,7518285.0
306,high_income,1.0,1.0,1954.0,7539332.0
307,high_income,1.0,1.0,1955.0,7572622.0
308,high_income,1.0,1.0,1956.0,7650552.0
309,high_income,1.0,1.0,1957.0,7736273.0
310,high_income,1.0,1.0,1958.0,7815826.0
311,high_income,1.0,1.0,1959.0,7906936.0
312,high_income,1.0,1.0,1960.0,7999632.0
314,high_income,1.0,1.0,1962.0,8079265.0
315,high_income,1.0,1.0,1963.0,8110340.0
316,high_income,1.0,1.0,1964.0,8120514.0
317,high_income,1.0,1.0,1965.0,8162849.0
318,high_income,1.0,1.0,1966.0,8097734.0
319,high_income,1.0,1.0,1967.0,7872571.0
320,high_income,1.0,1.0,1968.0,7772303.0
321,high_income,1.0,1.0,1969.0,7768100.0
322,high_income,1.0,1.0,1970.0,7714213.0
324,high_income,1.0,1.0,1972.0,7813829.0
325,high_income,1.0,1.0,1973.0,7722990.0
326,high_income,1.0,1.0,1974.0,7553832.0
327,high_income,1.0,1.0,1975.0,7448468.0
328,high_income,1.0,1.0,1976.0,7307770.0
330,high_income,1.0,1.0,1978.0,7184004.0
332,high_income,1.0,1.0,1980.0,7215511.0
333,high_income,1.0,1.0,1981.0,7287186.0
334,high_income,1.0,1.0,1982.0,7279277.0
335,high_income,1.0,1.0,1983.0,7237517.0
336,high_income,1.0,1.0,1984.0,7176296.0
337,high_income,1.0,1.0,1985.0,7088197.0
338,high_income,1.0,1.0,1986.0,7039310.0
339,high_income,1.0,1.0,1987.0,7015356.0
340,high_income,1.0,1.0,1988.0,6993862.0
341,high_income,1.0,1.0,1989.0,7005493.0
342,high_income,1.0,1.0,1990.0,7043284.0
343,high_income,1.0,1.0,1991.0,7090619.0
346,high_income,1.0,1.0,1994.0,6976401.0
349,high_income,1.0,1.0,1997.0,6704447.0
350,high_income,1.0,1.0,1998.0,6677681.0
351,high_income,1.0,1.0,1999.0,6647257.0
352,high_income,1.0,1.0,2000.0,6591692.0
353,high_income,1.0,1.0,2001.0,6606270.0
354,high_income,1.0,1.0,2002.0,6617019.0
355,high_income,1.0,1.0,2003.0,6540083.0
356,high_income,1.0,1.0,2004.0,6526842.0
357,high_income,1.0,1.0,2005.0,6552591.0
358,high_income,1.0,1.0,2006.0,6565385.0
359,high_income,1.0,1.0,2007.0,6637392.0
360,high_income,1.0,1.0,2008.0,6756639.0
361,high_income,1.0,1.0,2009.0,6831326.0
362,high_income,1.0,1.0,2010.0,6844131.0
363,high_income,1.0,1.0,2011.0,6791155.0
364,high_income,1.0,1.0,2012.0,6728916.0
365,high_income,1.0,1.0,2013.0,6709032.0
366,high_income,1.0,1.0,2014.0,6670167.0
369,high_income,1.0,1.0,2017.0,6657616.0
370,high_income,1.0,1.0,2018.0,6557841.0
371,high_income,1.0,1.0,2019.0,6401234.0
372,high_income,1.0,1.0,2020.0,6267968.0
373,high_income,1.0,1.0,2021.0,6094253.0
374,high_income,1.0,1.0,2022.0,6017016.0
375,high_income,1.0,1.0,2023.0,5991930.0
453,high_income,1.0,2.0,1950.0,7338204.0
454,high_income,1.0,2.0,1951.0,7251493.0
456,high_income,1.0,2.0,1953.0,7213206.0
457,high_income,1.0,2.0,1954.0,7236605.0
458,high_income,1.0,2.0,1955.0,7271845.0
460,high_income,1.0,2.0,1957.0,7462478.0
461,high_income,1.0,2.0,1958.0,7533131.0
462,high_income,1.0,2.0,1959.0,7607771.0
